triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Pandanus_odorifer_SRR5927127,Croomia_japonica_SRR6219921,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Pandanus_odorifer_SRR5927127,Pandanus_odorifer_SRR5927127,0.0,2.3299746538451975,3.4050090712738646e-17,1.0,0.02410071710751359,0.06405307766323025,-1311.5566466711025,-1011.6878196249879,291
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Pandanus_tectorius_SRR19179847,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Pandanus_tectorius_SRR19179847,Croomia_japonica_SRR6219921,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Pandanus_tectorius_SRR19179847,Pandanus_tectorius_SRR19179847,0.0,2.2649147760465587,4.1860947260538277e-17,1.0,0.024446703507603324,0.06398671594501718,-1310.0563229832642,-1012.2911089988596,291
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Acanthochlamys_bracteata_GCA_019914995,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Acanthochlamys_bracteata_GCA_019914995,Croomia_japonica_SRR6219921,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Acanthochlamys_bracteata_GCA_019914995,Acanthochlamys_bracteata_GCA_019914995,0.0,2.2749398811415857,4.517494388293998e-14,0.9999999999999549,0.03544066841869308,0.09220889936082474,-1087.9056970999661,-799.6392798152982,291
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Xerophyta_humilis_SRR8334914,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Xerophyta_humilis_SRR8334914,Croomia_japonica_SRR6219921,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Xerophyta_humilis_SRR8334914,Xerophyta_humilis_SRR8334914,0.0,2.2749398811415857,4.517494388293998e-14,0.9999999999999549,0.03544066841869308,0.09220889936082474,-1087.9056970999661,-799.6392798152982,291
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Talbotia_elegans_SRR19179852,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Talbotia_elegans_SRR19179852,Croomia_japonica_SRR6219921,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Talbotia_elegans_SRR19179852,Talbotia_elegans_SRR19179852,0.0,2.2749398811415857,4.517494388293998e-14,0.9999999999999549,0.03544066841869308,0.09220889936082474,-1087.9056970999661,-799.6392798152982,291
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Xerophyta_villosa_ERR2040709,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Xerophyta_villosa_ERR2040709,Croomia_japonica_SRR6219921,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_japonica_SRR6219921_Xerophyta_villosa_ERR2040709,Xerophyta_villosa_ERR2040709,0.0,2.2749398811415857,4.517494388293998e-14,0.9999999999999549,0.03544066841869308,0.09220889936082474,-1087.9056970999661,-799.6392798152982,291
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Croomia_pauciflora_SRR8298337,Stemona_collinsiae_SRR15465044,0.0,2.605382359922233,1.246544755437656e-21,1.0,0.01763004183438589,0.051449309721254353,-1452.650863351747,-1123.4893436918935,287
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Croomia_pauciflora_SRR8298337,Croomia_heterosepala_SRR6220063,0.0,5.9054477992694,1.763334742930617e-46,1.0,0.005061817666680276,0.02793153333333333,-18.36632157434218,-14.369381719607759,3
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Croomia_pauciflora_SRR8298337,Croomia_pauciflora_SRR8298337,0.0,1.909918973432278,3.5883725802345827e-29,1.0,0.013132337208487001,0.03497875,-10.016528626004927,-8.718910998382963,2
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Sphaeradenia_woodsonii_ERR3487374,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Sphaeradenia_woodsonii_ERR3487374,Croomia_heterosepala_SRR6220063,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Sphaeradenia_woodsonii_ERR3487374,Sphaeradenia_woodsonii_ERR3487374,0.0,2.5229499387067085,5.558303601226448e-14,0.9999999999999445,0.021811332502383464,0.061426193917525775,-1350.3308030473631,-1036.0594903652423,291
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Triuris_sp_2_SRR19179851,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Triuris_sp_2_SRR19179851,Croomia_heterosepala_SRR6220063,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Triuris_sp_2_SRR19179851,Triuris_sp_2_SRR19179851,0.0,1.9680523003383692,1.8039894448278725e-13,0.9999999999998195,0.028803594289772555,0.06818901365635739,-1241.629567874038,-975.2712743384895,291
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Triuris_sp_1_SRR19179850,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Triuris_sp_1_SRR19179850,Croomia_heterosepala_SRR6220063,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Triuris_sp_1_SRR19179850,Triuris_sp_1_SRR19179850,0.0,1.9680523003383692,1.8039894448278725e-13,0.9999999999998195,0.028803594289772555,0.06818901365635739,-1241.629567874038,-975.2712743384895,291
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Lacandonia_schismatica_SRR19179849,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,0
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Lacandonia_schismatica_SRR19179849,Croomia_heterosepala_SRR6220063,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Lacandonia_schismatica_SRR19179849,Lacandonia_schismatica_SRR19179849,0.0,1.9680523003383692,1.8039894448278725e-13,0.9999999999998195,0.028803594289772555,0.06818901365635739,-1241.629567874038,-975.2712743384895,291
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Freycinetia_multiflora_ERR2040706,Stemona_collinsiae_SRR15465044,0,0,0,0,0,0,0,0,1
Stemona_collinsiae_SRR15465044_Croomia_heterosepala_SRR6220063_Freycinetia_multiflora_ERR2040706,Croomia_heterosepala_SRR6220063,0,0,0,0,0,0,0,0,0
